bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
26230,1741,1025513,589.036760482481
29659,1638,1025501,626.068986568987
26171,1571,1024770,652.304264799491
29676,1862,1024714,550.329752953813
29500,1666,1023302,614.226890756303
29591,1991,1023157,513.891009542943
29241,1842,1021896,554.775244299674
29307,1606,1020855,635.650684931507
29677,1737,1020102,587.278065630397
29247,1809,1018553,563.047540077391
29295,1677,1018117,607.106141920095
29258,1723,1017843,590.738827626233
26244,1710,1016575,594.488304093567
26278,1669,1016303,608.929298981426
29638,1687,1014091,601.120924718435
26277,1847,1013823,548.902544667028
29291,1622,1013063,624.576448828607
29624,1095,1012529,924.68401826484
29615,1766,1011856,572.964892412231
29265,1626,1011373,622.00061500615
29502,1712,1009952,589.92523364486
29209,1634,1009281,617.675030599755
26240,1515,1005778,663.879867986799
29244,1384,1004811,726.01950867052
29480,1654,1002534,606.126964933495
25421,39,1001320,25674.8717948718
29251,1529,997747,652.548724656638
29264,1670,997227,597.141916167665
26228,1876,997087,531.496268656716
29298,1594,995759,624.691969887077
29126,1647,994504,603.827565270188
29448,1491,992169,665.438631790745
29582,1849,992016,536.514872904273
29641,1858,991504,533.640473627557
26234,1816,990250,545.291850220264
29297,1740,985261,566.241954022989
26183,1523,984206,646.228496388707
26229,1053,984054,934.524216524217
29489,1877,973409,518.598295151838
29524,1542,972977,630.983787289235
29248,1362,971351,713.179882525698
29601,1706,970992,569.162954279015
26261,1548,969794,626.481912144703
29515,1508,969057,642.61074270557
29639,1594,961715,603.334378920954
29267,1666,958831,575.52881152461
29534,1685,958503,568.844510385757
29228,1686,955290,566.601423487545
29470,1652,954712,577.912832929782
29220,1458,953607,654.051440329218
26241,1484,952268,641.690026954178
29226,1673,951076,568.485355648536
26167,1589,950874,598.410320956577
29581,1634,950060,581.432068543452
29570,1196,949508,793.903010033445
29243,1524,940882,617.376640419948
29578,1713,936619,546.771161704612
29453,1669,935217,560.345715997603
29441,1719,935124,543.993019197208
29663,1502,934012,621.845539280959
29545,1233,932469,756.260340632603
26270,1517,931205,613.846407382993
29305,1496,927104,619.72192513369
26317,1462,921359,630.204514363885
29294,1695,921202,543.482005899705
29487,1449,918368,633.794340924776
26194,1492,917148,614.710455764075
29481,1420,916163,645.185211267606
29555,1605,908607,566.110280373832
26201,1667,904225,542.426514697061
33658,504,900963,1787.625
29467,1485,897951,604.680808080808
29254,1550,895161,577.523225806452
29121,1554,894140,575.379665379666
29679,1552,891860,574.65206185567
26263,1547,888349,574.239819004525
26315,1013,886931,875.548864758144
29301,1384,885571,639.863439306358
29657,1125,885382,787.006222222222
29532,1503,882544,587.188290086494
29450,1487,878703,590.923335574983
29471,1535,878107,572.05667752443
26242,1647,868805,527.50758955677
26282,1235,866079,701.278542510122
29302,1688,860286,509.648104265403
29602,1564,856331,547.52621483376
29592,1520,851161,559.974342105263
29680,1482,848632,572.626180836707
29300,1292,846342,655.06346749226
29442,989,846131,855.541961577351
29279,1478,845960,572.368064952639
29661,1484,841982,567.373315363881
29238,1104,839401,760.326992753623
42341,63,825941,13110.1746031746
29549,1273,825796,648.700706991359
29454,1275,822001,644.706666666667
26245,1499,820055,547.068045363576
26246,913,813449,890.962760131435
33615,239,805567,3370.57322175732
29303,1455,790101,543.024742268041
29529,1416,784249,553.848163841808
29308,1494,781478,523.077643908969
29573,1519,781361,514.391705069124
29202,1112,780334,701.739208633094
29627,1408,762849,541.796164772727
33609,344,759694,2208.41279069767
26256,1275,749404,587.767843137255
26249,1025,734394,716.481951219512
29127,999,733590,734.324324324324
33594,708,714596,1009.31638418079
26169,1131,702580,621.202475685234
29274,1125,700227,622.424
31547,73,675064,9247.45205479452
29443,1096,666745,608.34397810219
29285,1248,662603,530.931891025641
29579,1113,660662,593.586702605571
33613,641,642250,1001.95007800312
29656,1088,639563,587.833639705882
