bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
35387,2900,2832280,976.648275862069
33005,1627,2830368,1739.62384757222
35320,2757,2826637,1025.25825172289
33811,2778,2826072,1017.30453563715
29770,1233,2825314,2291.41443633414
33788,2847,2819583,990.369863013699
27473,1448,2817715,1945.93577348066
19481,449,2812956,6264.93541202673
34408,2581,2810300,1088.84153428904
34307,2655,2807928,1057.6
17201,1078,2802239,2599.47959183673
35065,2797,2800553,1001.270289596
34073,2190,2800025,1278.5502283105
34406,2590,2798216,1080.39227799228
32644,1540,2795904,1815.52207792208
35083,2571,2795356,1087.26409957215
34369,2409,2794896,1160.18929016189
26052,817,2792221,3417.6511627907
35366,2819,2791235,990.150762681802
24854,1156,2789581,2413.13235294118
35101,2399,2789002,1162.5685702376
31982,1604,2785500,1736.59600997506
18021,1092,2783928,2549.38461538462
19928,875,2782919,3180.47885714286
35077,2779,2775937,998.897804965815
35364,2527,2775921,1098.50455085081
33800,3008,2774614,922.411569148936
35369,2914,2773914,951.926561427591
34970,2775,2773380,999.416216216216
28869,1098,2771201,2523.86247723133
34034,2543,2766390,1087.845064884
34335,2574,2765633,1074.44949494949
21481,874,2764223,3162.72654462243
29974,1167,2761153,2366.0265638389
30842,1664,2760270,1658.81610576923
34330,2670,2760243,1033.79887640449
31362,1682,2759014,1640.31747919144
25670,984,2757574,2802.41260162602
39001,1361,2756355,2025.24246877296
35245,2216,2751150,1241.49368231047
15962,1076,2744279,2550.44516728625
33821,2576,2738012,1062.89285714286
35136,2924,2737447,936.199384404925
34372,2715,2736255,1007.82872928177
33902,2882,2735189,949.059333795975
35115,3020,2728296,903.409271523179
35195,2657,2726482,1026.15054572826
38540,407,2726412,6698.80098280098
32139,1256,2722858,2167.88057324841
35342,2682,2721721,1014.81021625652
35130,2598,2721101,1047.38298691301
33892,2771,2720735,981.860339227716
34126,2573,2717183,1056.03692188107
20823,951,2716664,2856.63932702419
19261,799,2712832,3395.28410513141
35356,2914,2712308,930.785175017158
34037,2626,2711770,1032.66184310739
35277,2688,2708992,1007.80952380952
27046,1057,2708708,2562.63765373699
35142,2848,2705756,950.054775280899
34413,2209,2704555,1224.33454051607
35194,3150,2702561,857.955873015873
33777,2510,2701997,1076.49282868526
35006,2876,2701407,939.293115438108
35288,2737,2701360,986.978443551334
31275,1523,2700697,1773.27445830598
24907,1119,2699991,2412.86058981233
34323,2853,2699368,946.150718541886
35473,2318,2697500,1163.7187230371
33847,2735,2694635,985.241316270567
35592,2638,2693160,1020.90978013647
35471,2995,2687390,897.292153589316
34969,3097,2681726,865.910881498224
32606,2698,2679727,993.227205337287
30410,1761,2677506,1520.44633730835
35174,2579,2676730,1037.89453276464
33963,2141,2676166,1249.9607659972
35360,2521,2672837,1060.22887742959
16009,602,2670311,4435.73255813954
34981,2898,2668222,920.711525189786
40932,733,2667984,3639.81446111869
32402,1662,2667788,1605.16726835138
35219,2663,2665266,1000.85092001502
33631,1513,2663847,1760.63912756114
32294,1561,2662973,1705.94042280589
31644,1443,2662580,1845.16978516979
31164,1358,2658171,1957.41605301915
35330,2879,2656477,922.708232025009
18276,677,2655476,3922.41654357459
30809,1590,2654053,1669.21572327044
38488,1382,2653859,1920.30318379161
32987,1527,2651342,1736.30779305828
16970,901,2648693,2939.72586015538
33738,2918,2647832,907.413296778616
34996,2964,2647015,893.054993252362
15333,1109,2645980,2385.91523895401
16286,1098,2643698,2407.73952641166
30919,1449,2643412,1824.30089717046
34088,2925,2642772,903.511794871795
34302,2522,2636275,1045.31126090404
35121,2952,2635327,892.725948509485
35352,2259,2634820,1166.36564851704
29855,1580,2630721,1665.01329113924
21246,822,2629390,3198.77128953771
35193,2853,2627192,920.852436032247
26724,952,2626046,2758.45168067227
33999,2864,2625740,916.808659217877
29802,1536,2624975,1708.96809895833
34220,2449,2624820,1071.79256839526
35238,2563,2623135,1023.46273897776
20196,879,2619200,2979.74971558589
39855,1233,2618097,2123.35523114355
18181,716,2614047,3650.90363128492
17509,819,2612169,3189.46153846154
35354,2766,2609512,943.424439624006
33796,2295,2609059,1136.84488017429
37947,2,2608974,1304487
34247,2678,2608083,973.892083644511
34941,2426,2607259,1074.71516900247
16357,709,2607187,3677.2736248237
28377,1329,2604859,1960.01429646351
34224,2661,2602374,977.968432919955
33409,1445,2601000,1800
33890,2758,2600904,943.039883973894
35389,2731,2597791,951.223361406078
34332,3101,2595847,837.099967752338
25364,899,2593614,2884.99888765295
27837,1193,2593363,2173.81642917016
30231,1576,2592459,1644.96129441624
35184,2684,2590443,965.142697466468
33915,3031,2589996,854.502144506764
29965,1401,2587455,1846.86295503212
21435,843,2585664,3067.21708185053
34087,1701,2585627,1520.06290417402
34348,2724,2585618,949.198972099853
35094,2885,2585594,896.219757365685
31385,1460,2584823,1770.42671232877
34305,2691,2584819,960.542177629134
35039,2674,2584819,966.648840688108
32963,1453,2584184,1778.51617343427
35114,2849,2584138,907.033345033345
34389,2414,2583870,1070.36868268434
30532,1493,2583278,1730.25987943737
34156,2710,2583252,953.229520295203
33983,1987,2581159,1299.02315047811
32991,1642,2579687,1571.06394640682
35019,2789,2578485,924.519541054141
33841,2517,2578089,1024.2705601907
34059,3026,2577788,851.879709187046
18629,949,2576850,2715.33192834563
33069,2935,2576594,877.885519591141
25718,778,2576492,3311.68637532134
35089,2781,2575469,926.094570298454
35305,2794,2575403,921.761989978526
32674,1564,2574485,1646.09015345269
35302,3002,2572828,857.037974683544
33393,1355,2572568,1898.5741697417
33896,3000,2572047,857.349
34388,2607,2571185,986.261986958189
28378,1385,2569906,1855.52779783394
34158,2840,2569139,904.626408450704
33885,2779,2569105,924.471032745592
35041,2869,2568785,895.359010108052
38780,1323,2568177,1941.1768707483
34187,3093,2566875,829.898157129001
33882,2767,2566293,927.464040477051
34937,2901,2564010,883.836608066184
15112,1107,2562978,2315.24661246612
17404,964,2562242,2657.92738589212
34993,2870,2559413,891.781533101045
34116,2861,2558477,894.259699405802
33971,2619,2558292,976.820160366552
33814,2523,2557260,1013.5790725327
21498,850,2557090,3008.34117647059
35165,2978,2556398,858.427803895232
35055,2727,2555271,937.026402640264
28738,930,2554450,2746.72043010753
31065,1331,2552564,1917.77911344854
25827,531,2551049,4804.23540489642
