"","stationId","stationName","latitude","longitude","under20","under40","under60","under80"
"63","267","Broadway & W 36 St",40.75097711,-73.98765428,3,2148,1419,391
"64","268","Howard St & Centre St",40.71910537,-73.99973337,8,4434,2306,459
"65","270","Adelphi St & Myrtle Ave",40.69308257,-73.97178913,14,732,539,21
"66","274","Lafayette Ave & Fort Greene Pl",40.68691865,-73.976682,66,1410,1408,113
"67","275","Washington Ave & Greene Ave",40.68650065,-73.96563307,2,550,491,57
"68","276","Duane St & Greenwich St",40.71748752,-74.0104554,2,1676,1415,423
"69","278","Concord St & Bridge St",40.69766564,-73.98476437,3,732,496,79
"70","279","Peck Slip & Front St",40.707873,-74.00167,12,2575,2403,283
"71","280","E 10 St & 5 Ave",40.73331967,-73.99510132,19,2967,1836,422
"72","281","Grand Army Plaza & Central Park S",40.7643971,-73.97371465,23,9269,9759,1556
"73","282","Kent Ave & S 11 St",40.7076449441757,-73.9684152603149,0,1353,781,70
"74","284","Greenwich Ave & 8 Ave",40.73902,-74.00264,11,5775,2749,438
"75","285","Broadway & E 14 St",40.73454567,-73.99074142,54,11482,5050,1162
"76","289","Monroe St & Classon Ave",40.6845683,-73.95881081,7,436,242,13
"77","291","Madison St & Montgomery St",40.713126,-73.984844,12,778,707,157
"78","293","Lafayette St & E 8 St",40.7302066052995,-73.9910262823105,40,10816,4438,603
"79","295","Pike St & E Broadway",40.71406667,-73.99293911,10,1059,1153,252
"80","296","Division St & Bowery",40.71413089,-73.9970468,33,1898,2176,563
"81","297","E 15 St & 3 Ave",40.734232,-73.986923,44,5361,2617,479
"82","298","3 Ave & Schermerhorn St",40.68683208,-73.9796772,4,1241,687,80
"83","3002","South End Ave & Liberty St",40.711512,-74.015756,11,6705,5073,677
"84","301","E 2 St & Avenue B",40.72217444,-73.98368779,15,2613,1114,152
"85","3016","Kent Ave & N 7 St",40.7203677529846,-73.9616507291794,5,3611,1713,93
"86","302","Avenue D & E 3 St",40.72082834,-73.97793172,74,1194,969,319
"87","303","Mercer St & Spring St",40.72362738,-73.99949601,14,4527,2695,423
"88","304","Broadway & Battery Pl",40.70463334,-74.01361706,16,7421,6860,1403
"89","3040","Handlebar @ Gowanus",40.6698,-73.99498,0,6,0,0
"90","3041","Kingston Ave & Herkimer St",40.67890679,-73.94142771,6,683,191,63
