start.station.id,weekday,DayTime,end.station.id,start.station.name,start.station.latitude,start.station.longitude,end.station.name,end.station.latitude,end.Station.Longitude,Count
3183,1,morning,3277,Exchange Place,40.7162469,-74.0334588,Communipaw & Berry Lane,40.7143583687043,-74.0666109323502,2
3183,1,morning,3278,Exchange Place,40.7162469,-74.0334588,Monmouth and 6th,40.725685483629,-74.0487903356552,2
3183,1,morning,3279,Exchange Place,40.7162469,-74.0334588,Dixon Mills,40.7216301426384,-74.0499678254128,2
3183,1,morning,3426,Exchange Place,40.7162469,-74.0334588,JCBS Depot,40.7096508336406,-74.0686011314392,2
3183,1,morning,3481,Exchange Place,40.7162469,-74.0334588,York St,40.71649,-74.04105,6
3183,1,morning,3483,Exchange Place,40.7162469,-74.0334588,Montgomery St,40.71942,-74.05099,2
3183,1,morning,3638,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,20
3183,1,morning,3639,Exchange Place,40.7162469,-74.0334588,Harborside,40.7192517,-74.034234,42
3183,1,morning,3681,Exchange Place,40.7162469,-74.0334588,Grand St,40.7151776773203,-74.0376833081245,12
3183,2,afternoon,439,Exchange Place,40.7162469,-74.0334588,E 4 St & 2 Ave,40.7262807,-73.98978041,1
3183,2,afternoon,3183,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,112
3183,2,afternoon,3184,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,90
3183,2,afternoon,3185,Exchange Place,40.7162469,-74.0334588,City Hall,40.7177325,-74.043845,175
3183,2,afternoon,3186,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.7195861164717,-74.0431174635887,276
3183,2,afternoon,3187,Exchange Place,40.7162469,-74.0334588,Warren St,40.7211236,-74.03805095,407
3183,2,afternoon,3188,Exchange Place,40.7162469,-74.0334588,NJCU,40.7101087,-74.0858489,1
3183,2,afternoon,3190,Exchange Place,40.7162469,-74.0334588,Garfield Ave Station,40.7104670233797,-74.0700387954712,10
3183,2,afternoon,3191,Exchange Place,40.7162469,-74.0334588,Union St,40.7182113,-74.0836394,4
3183,2,afternoon,3192,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.7112423,-74.0557013,267
3183,2,afternoon,3193,Exchange Place,40.7162469,-74.0334588,Lincoln Park,40.7246050998869,-74.0784059464932,5
3183,2,afternoon,3194,Exchange Place,40.7162469,-74.0334588,McGinley Square,40.7253399253558,-74.0676221251488,58
3183,2,afternoon,3195,Exchange Place,40.7162469,-74.0334588,Sip Ave,40.7307426253066,-74.0637838840485,16
3183,2,afternoon,3196,Exchange Place,40.7162469,-74.0334588,Riverview Park,40.7443187,-74.0439909,18
3183,2,afternoon,3197,Exchange Place,40.7162469,-74.0334588,North St,40.752559,-74.044725,2
3183,2,afternoon,3198,Exchange Place,40.7162469,-74.0334588,Heights Elevator,40.7487159453802,-74.0404433012009,28
3183,2,afternoon,3199,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.7287448,-74.0321082,297
3183,2,afternoon,3200,Exchange Place,40.7162469,-74.0334588,MLK Light Rail,40.7111305,-74.0788855,1
3183,2,afternoon,3201,Exchange Place,40.7162469,-74.0334588,Dey St,40.737711,-74.066921,8
3183,2,afternoon,3202,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.0337589,201
3183,2,afternoon,3203,Exchange Place,40.7162469,-74.0334588,Hamilton Park,40.727595966,-74.044247311,163
3183,2,afternoon,3205,Exchange Place,40.7162469,-74.0334588,JC Medical Center,40.7165397809919,-74.0496379137039,39
3183,2,afternoon,3206,Exchange Place,40.7162469,-74.0334588,Hilltop,40.7311689,-74.0575736,11
3183,2,afternoon,3207,Exchange Place,40.7162469,-74.0334588,Oakland Ave,40.7376037,-74.0524783,28
3183,2,afternoon,3209,Exchange Place,40.7162469,-74.0334588,Brunswick St,40.7241765,-74.0506564,32
3183,2,afternoon,3210,Exchange Place,40.7162469,-74.0334588,Pershing Field,40.742677141,-74.051788633,26
3183,2,afternoon,3211,Exchange Place,40.7162469,-74.0334588,Newark Ave,40.72152515,-74.046304543,86
3183,2,afternoon,3212,Exchange Place,40.7162469,-74.0334588,Christ Hospital,40.734785818,-74.050443636,7
3183,2,afternoon,3213,Exchange Place,40.7162469,-74.0334588,Van Vorst Park,40.71848892,-74.047726625,183
3183,2,afternoon,3214,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.7127742,-74.0364857,648
3183,2,afternoon,3215,Exchange Place,40.7162469,-74.0334588,Central Ave,40.7467299,-74.0492509,9
3183,2,afternoon,3220,Exchange Place,40.7162469,-74.0334588,5 Corners Library,40.7349610200095,-74.0595030784607,29
3183,2,afternoon,3225,Exchange Place,40.7162469,-74.0334588,Baldwin at Montgomery,40.7236589,-74.0641943,25
3183,2,afternoon,3267,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.0385255217552,1262
3183,2,afternoon,3268,Exchange Place,40.7162469,-74.0334588,Lafayette Park,40.713463826692,-74.0628585219383,31
3183,2,afternoon,3269,Exchange Place,40.7162469,-74.0334588,Brunswick & 6th,40.7260117296463,-74.0503889322281,53
3183,2,afternoon,3270,Exchange Place,40.7162469,-74.0334588,Jersey & 6th St,40.7252891078113,-74.0455716848373,52
3183,2,afternoon,3271,Exchange Place,40.7162469,-74.0334588,Danforth Light Rail,40.6926399661833,-74.08801227808,1
3183,2,afternoon,3272,Exchange Place,40.7162469,-74.0334588,Jersey & 3rd,40.7233315864644,-74.0459525585175,61
3183,2,afternoon,3273,Exchange Place,40.7162469,-74.0334588,Manila & 1st,40.72165072488,-74.0428841114044,91
3183,2,afternoon,3275,Exchange Place,40.7162469,-74.0334588,Columbus Drive,40.7183551982321,-74.0389144420624,135
3183,2,afternoon,3276,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.7145840353589,-74.0428170561791,332
3183,2,afternoon,3277,Exchange Place,40.7162469,-74.0334588,Communipaw & Berry Lane,40.7143583687043,-74.0666109323502,9
3183,2,afternoon,3278,Exchange Place,40.7162469,-74.0334588,Monmouth and 6th,40.725685483629,-74.0487903356552,54
3183,2,afternoon,3279,Exchange Place,40.7162469,-74.0334588,Dixon Mills,40.7216301426384,-74.0499678254128,41
3183,2,afternoon,3280,Exchange Place,40.7162469,-74.0334588,Astor Place,40.719282200707,-74.071261882782,7
3183,2,afternoon,3281,Exchange Place,40.7162469,-74.0334588,Leonard Gordon Park,40.7459099663156,-74.0572714805603,102
3183,2,afternoon,3426,Exchange Place,40.7162469,-74.0334588,JCBS Depot,40.7096508336406,-74.0686011314392,1
3183,2,afternoon,3480,Exchange Place,40.7162469,-74.0334588,WS Don't Use,0,0,4
3183,2,afternoon,3481,Exchange Place,40.7162469,-74.0334588,York St,40.71649,-74.04105,102
3183,2,afternoon,3483,Exchange Place,40.7162469,-74.0334588,Montgomery St,40.71942,-74.05099,7
3183,2,afternoon,3638,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,69
3183,2,afternoon,3639,Exchange Place,40.7162469,-74.0334588,Harborside,40.7192517,-74.034234,148
3183,2,afternoon,3640,Exchange Place,40.7162469,-74.0334588,Journal Square,40.73367,-74.0625,10
3183,2,afternoon,3677,Exchange Place,40.7162469,-74.0334588,Glenwood Ave,40.7275514673001,-74.0710607171059,3
3183,2,afternoon,3678,Exchange Place,40.7162469,-74.0334588,Fairmount Ave,40.7257261374256,-74.0719592571259,1
3183,2,afternoon,3681,Exchange Place,40.7162469,-74.0334588,Grand St,40.7151776773203,-74.0376833081245,112
3183,2,morning,3183,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,24
3183,2,morning,3184,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,124
3183,2,morning,3185,Exchange Place,40.7162469,-74.0334588,City Hall,40.7177325,-74.043845,27
3183,2,morning,3186,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.7195861164717,-74.0431174635887,24
3183,2,morning,3187,Exchange Place,40.7162469,-74.0334588,Warren St,40.7211236,-74.03805095,17
3183,2,morning,3188,Exchange Place,40.7162469,-74.0334588,NJCU,40.7101087,-74.0858489,1
3183,2,morning,3190,Exchange Place,40.7162469,-74.0334588,Garfield Ave Station,40.7104670233797,-74.0700387954712,3
3183,2,morning,3192,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.7112423,-74.0557013,12
3183,2,morning,3194,Exchange Place,40.7162469,-74.0334588,McGinley Square,40.7253399253558,-74.0676221251488,2
3183,2,morning,3195,Exchange Place,40.7162469,-74.0334588,Sip Ave,40.7308970978618,-74.0639126300812,1
3183,2,morning,3196,Exchange Place,40.7162469,-74.0334588,Riverview Park,40.7443187,-74.0439909,1
3183,2,morning,3197,Exchange Place,40.7162469,-74.0334588,Hs Don't Use,40.7192517074099,-74.0342339873314,2
3183,2,morning,3198,Exchange Place,40.7162469,-74.0334588,Heights Elevator,40.7487159453802,-74.0404433012009,2
3183,2,morning,3199,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.7287448,-74.0321082,34
3183,2,morning,3202,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.0337589,36
3183,2,morning,3203,Exchange Place,40.7162469,-74.0334588,Hamilton Park,40.727595966,-74.044247311,9
3183,2,morning,3205,Exchange Place,40.7162469,-74.0334588,JC Medical Center,40.7165397809919,-74.0496379137039,8
3183,2,morning,3206,Exchange Place,40.7162469,-74.0334588,Hilltop,40.7311689,-74.0575736,1
3183,2,morning,3209,Exchange Place,40.7162469,-74.0334588,Brunswick St,40.7241765,-74.0506564,4
3183,2,morning,3210,Exchange Place,40.7162469,-74.0334588,Pershing Field,40.742677141,-74.051788633,1
3183,2,morning,3211,Exchange Place,40.7162469,-74.0334588,Newark Ave,40.72152515,-74.046304543,7
