"","stationId","stationName","latitude","longitude","totalHires","manHires","womanHires"
"264","276","Duane St & Greenwich St",40.71748752,-74.0104554,2896,2009,761
"265","532","S 5 Pl & S 5 St",40.710451,-73.960876,2893,1787,742
"266","3648","Flushing Ave & Vanderbilt Ave",40.6979503156954,-73.970775604248,2868,1703,1002
"267","317","E 6 St & Avenue B",40.72453734,-73.98185424,2859,1979,808
"268","3259","9 Ave & W 28 St",40.7493702419328,-73.9992338418961,2853,1983,701
"269","418","Front St & Gold St",40.70224,-73.982578,2831,1797,848
"270","236","St Marks Pl & 2 Ave",40.7284186,-73.98713956,2822,1940,744
"271","445","E 10 St & Avenue A",40.72740794,-73.98142006,2792,1935,742
"272","3521","Lenox Ave & W 111 St",40.7987859,-73.9523,2768,1921,650
"273","350","Clinton St & Grand St",40.71559509,-73.9870295,2763,1423,1229
"274","3242","Schermerhorn St & Court St",40.6910292567797,-73.991833627224,2739,1588,987
"275","515","W 43 St & 10 Ave",40.76009437,-73.99461843,2701,2048,572
"276","473","Rivington St & Chrystie St",40.72110063,-73.9919254,2699,1742,804
"277","3402","Court St & State St",40.6902375,-73.99203074,2677,1515,1056
"278","3154","E 77 St & 3 Ave",40.77314236,-73.95856158,2594,1880,671
"279","243","Fulton St & Rockwell Pl",40.688226,-73.979382,2579,1691,790
"280","3378","E 76 St & Park Ave",40.773763,-73.96222088,2532,1959,506
"281","3136","5 Ave & E 63 St",40.766368,-73.971518,2513,1785,564
"282","346","Bank St & Hudson St",40.73652889,-74.00618026,2509,1720,692
"283","3709","W 15 St & 6 Ave",40.7380461424828,-73.996429592371,2489,1736,664
"284","3798","W 40 St & 5 Ave",40.75227,-73.98208,2489,1918,485
"285","3382","Carroll St & Smith St",40.680611,-73.99475825,2476,1582,712
"286","3418","Plaza St West & Flatbush Ave",40.6750207,-73.97111473,2474,1525,774
"287","3107","Bedford Ave & Nassau Ave",40.72311651,-73.95212324,2459,1682,668
"288","310","State St & Smith St",40.68926942,-73.98912867,2435,1651,719
"289","3126","44 Dr & Jackson Ave",40.74718234,-73.9432635,2433,1772,531
"290","3747","E 84 St & 3 Ave",40.7775537429889,-73.9551275968552,2411,1604,719
"291","274","Lafayette Ave & Fort Greene Pl",40.68691865,-73.976682,2409,1588,682
"292","3376","E 65 St & 2 Ave",40.7647185194434,-73.962220698595,2394,1486,776
"293","3282","5 Ave & E 88 St",40.78307,-73.95939,2356,1203,748
"294","3593","31 St & Broadway",40.761584,-73.925921,2355,1568,686
"295","3372","E 74 St & 1 Ave",40.7689738,-73.95482273,2332,1610,676
