"","stationId","stationName","latitude","longitude","hires"
"142","3100","Nassau Ave & Newell St",40.7248125644002,-73.947526216507,926
"143","3101","N 12 St & Bedford Ave",40.72079821,-73.95484712,2201
"144","3102","Driggs Ave & Lorimer St",40.72179134,-73.9504154,1421
"145","3105","N 15 St & Wythe Ave",40.724055,-73.955736,779
"146","3106","Driggs Ave & N Henry St",40.72325,-73.94308,987
"147","3107","Bedford Ave & Nassau Ave",40.72311651,-73.95212324,2490
"148","3108","Nassau Ave & Russell St",40.72557,-73.94434,1326
"149","3109","Banker St & Meserole Ave",40.72606,-73.95621,1051
"150","311","Norfolk St & Broome St",40.7172274,-73.98802084,3450
"151","3110","Meserole Ave & Manhattan Ave",40.72708584,-73.95299117,1786
"152","3112","Milton St & Franklin St",40.72906,-73.95779,2562
"153","3113","Greenpoint Ave & Manhattan Ave",40.73026,-73.95394,1736
"154","3115","India St & Manhattan Ave",40.73232194,-73.9550858,1390
"155","3116","Huron St & Franklin St",40.73266,-73.95826,1798
"156","3117","Franklin St & Dupont St",40.73564,-73.95866,1436
"157","3118","McGuinness Blvd & Eagle St",40.73555,-73.95284,1438
"158","3119","Vernon Blvd & 50 Ave",40.74232744,-73.95411749,1664
"159","312","Allen St & Stanton St",40.722055,-73.989111,4010
"160","3121","Jackson Ave & 46 Rd",40.74524768,-73.94733276,742
"161","3122","48 Ave & 5 St",40.7443632870669,-73.9558732509613,411
"162","3123","31 St & Thomson Ave",40.74469738,-73.93540375,256
"163","3124","46 Ave & 5 St",40.74731,-73.95451,1471
"164","3125","45 Rd & 11 St",40.74708586,-73.94977234,1003
"165","3126","44 Dr & Jackson Ave",40.74718234,-73.9432635,1058
"166","3127","9 St & 44 Rd",40.74966,-73.9521,542
"167","3128","21 St & 43 Ave",40.75052534,-73.94594845,160
"168","3129","Queens Plaza North & Crescent St",40.75110165,-73.94073717,2367
"169","313","Washington Ave & Park Ave",40.69610226,-73.96751037,775
"170","3130","21 St & Queens Plaza North",40.75325964,-73.94335788,473
"171","3131","E 68 St & 3 Ave",40.7671284034954,-73.9622461795807,646
"172","3132","E 59 St & Madison Ave",40.76350532,-73.97109243,1942
"173","3134","3 Ave & E 62 St",40.76312584,-73.96526895,1190
"174","3135","E 75 St & 3 Ave",40.77112927,-73.95772297,1003
"175","3136","5 Ave & E 63 St",40.766368,-73.971518,2381
"176","3137","5 Ave & E 73 St",40.77282817,-73.96685276,6545
"177","3139","E 72 St & Park Ave",40.7711828754066,-73.9640942215919,2619
"178","314","Cadman Plaza West & Montague St",40.69383,-73.990539,1063
"179","3140","1 Ave & E 78 St",40.77140426,-73.9535166,2523
"180","3141","1 Ave & E 68 St",40.76500525,-73.95818491,2144
"181","3142","1 Ave & E 62 St",40.7612274,-73.96094022,3142
"182","3143","5 Ave & E 78 St",40.7763214218227,-73.9642739295959,4966
"183","3144","E 81 St & Park Ave",40.77677702,-73.9590097,255
